Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Type 2 Diabetes,vomiting,polydipsia,blurred_vision,changes_in_bowel_habits,polyuria,seizures,heart_palpitations,early_satiety,weight_loss,fatigue,,,,,,,
Type 2 Diabetes,polydipsia,fatigue,visual_aura,confusion,sweating,persistent_cough,polyuria,constipation,nausea,palpitations,abdominal_pain,nodal_eruptions,iron_deficiency_anemia,changes_in_urination,,,
Type 2 Diabetes,polyuria,arm_pain,tremors,fatigue,polydipsia,dry_skin,breathlessness,abdominal_cramps,blurred_vision,early_satiety,crusting,iron_deficiency_anemia,sneezing,diarrhea,,,
Type 2 Diabetes,scarring,vesicles,sweating,arm_pain,polyuria,night_sweats,blurred_vision,frequent_urination,high_blood_pressure,dizziness,reduced_mobility,breathlessness,burning_urination,fatigue,acid_reflux,,
Type 2 Diabetes,weight_loss,mood_swings,polydipsia,indigestion,skin_rash,,,,,,,,,,,,
Type 2 Diabetes,joint_pain,weakness,visual_aura,fatigue,blurred_vision,weight_loss,dysphagia,,,,,,,,,,
Type 2 Diabetes,weight_loss,breast_pain,black_stools,persistent_cough,oiliness,polydipsia,vomiting_blood,polyuria,fatigue,blurred_vision,,,,,,,
Type 2 Diabetes,wheezing,weight_loss,cold_intolerance,abdominal_pain,polyuria,fatigue,confusion,polydipsia,,,,,,,,,
Type 2 Diabetes,fatigue,weight_loss,polyuria,polydipsia,numbness,blurred_vision,vesicles,dysphagia,,,,,,,,,
Type 2 Diabetes,skin_dimpling,swelling,sweating,dehydration,polydipsia,mood_swings,leg_pain,polyuria,fatigue,dark_urine,erectile_dysfunction,creaking_joints,cloudy_urine,itchy_eyes,acid_reflux,blurred_vision,pimples
Type 2 Diabetes,polyuria,diarrhea,bone_pain,blurred_vision,polydipsia,pimples,cloudy_urine,fatigue,constipation,nasal_congestion,runny_nose,blackheads,muscle_pain,sore_throat,tremors,,
Type 2 Diabetes,persistent_cough,disorientation,polydipsia,polyuria,weight_loss,hunger,iron_deficiency_anemia,dry_skin,blurred_vision,numbness,erectile_dysfunction,fatigue,,,,,
Type 2 Diabetes,abdominal_pain,nausea,itching,polyuria,swelling_in_legs,polydipsia,cold_intolerance,fatigue,,,,,,,,,
Type 2 Diabetes,polydipsia,chronic_cough,weight_loss,reduced_mobility,cold_intolerance,nipple_inversion,polyuria,leg_pain,,,,,,,,,
Type 2 Diabetes,polyuria,polydipsia,weight_loss,photophobia,cough,fatigue,blurred_vision,visual_aura,,,,,,,,,
Type 2 Diabetes,photophobia,reduced_mobility,fatigue,chronic_cough,visual_aura,weight_loss,heartburn,jaundice,polydipsia,fever,constipation,urinary_difficulty,neck_pain,erectile_dysfunction,wheezing,,
Type 2 Diabetes,frequent_respiratory_infections,swelling,dark_urine,reduced_mobility,chills,fatigue,cloudy_urine,polyuria,crusting,bloating_after_meals,heartburn,polydipsia,vertigo,diarrhea,frequent_urination,sore_throat,
Type 2 Diabetes,indigestion,hoarseness,shortness_of_breath,heartburn,blurred_vision,nipple_inversion,polydipsia,,,,,,,,,,
Type 2 Diabetes,fatigue,blurred_vision,coughing_blood,nausea,polyuria,,,,,,,,,,,,
Type 2 Diabetes,polydipsia,chronic_cough,weight_loss,muscle_pain,creaking_joints,itching,wheezing,skin_rash,blurred_vision,polyuria,leg_pain,acid_reflux,cough,hunger,vertigo,high_blood_pressure,breast_lump
Type 2 Diabetes,polyuria,heart_palpitations,polydipsia,blurred_vision,skin_dimpling,fatigue,,,,,,,,,,,
Type 2 Diabetes,seizures,high_blood_pressure,changes_in_bowel_habits,dischromic_patches,itching,neck_pain,difficulty_speaking,jaundice,polyuria,weight_loss,blurred_vision,fatigue,iron_deficiency_anemia,breathlessness,polydipsia,cough,
Type 2 Diabetes,blisters,polydipsia,fatigue,urinary_difficulty,phonophobia,weight_loss,breast_lump,constipation,palpitations,weakness,polyuria,,,,,,
Type 2 Diabetes,fatigue,urinary_difficulty,chest_pain,crusting,polydipsia,black_stools,cough,dysphagia,abdominal_cramps,erectile_dysfunction,chronic_cough,polyuria,arm_pain,blurred_vision,weight_loss,headache,
Type 2 Diabetes,blurred_vision,vesicles,palpitations,vertigo,high_blood_pressure,polydipsia,polyuria,blood_in_stool,weight_loss,frequent_urination,,,,,,,
Type 2 Diabetes,polydipsia,weight_loss,polyuria,blurred_vision,blisters,vomiting,,,,,,,,,,,
Type 2 Diabetes,fatigue,crusting,high_blood_pressure,weight_loss,swelling_in_legs,polyuria,arm_pain,pimples,breathlessness,polydipsia,heartburn,chest_tightness,oiliness,,,,
Type 2 Diabetes,skin_rash,nasal_congestion,weakness,frequent_respiratory_infections,fatigue,oiliness,changes_in_urination,night_sweats,nodal_eruptions,polyuria,pelvic_pain,arm_pain,jaundice,blurred_vision,,,
Type 2 Diabetes,polydipsia,cramps,polyuria,blurred_vision,muscle_pain,,,,,,,,,,,,
Type 2 Diabetes,weight_loss,polydipsia,fatigue,polyuria,,,,,,,,,,,,,
Type 2 Diabetes,confusion,chronic_cough,breast_lump,polydipsia,nodal_eruptions,weight_loss,polyuria,blood_in_stool,,,,,,,,,
Type 2 Diabetes,heartburn,diarrhea,polydipsia,dizziness,polyuria,stiffness,muscle_pain,constipation,swelling_in_legs,bone_pain,visual_aura,coughing_blood,nodal_eruptions,,,,
Type 2 Diabetes,pimples,blurred_vision,creaking_joints,polyuria,visible_veins,jaundice,weight_loss,neck_pain,wheezing,scaling,fatigue,polydipsia,frequent_respiratory_infections,burning_urination,,,
Type 2 Diabetes,polyuria,diarrhea,blood_in_semen,erectile_dysfunction,reduced_mobility,bleeding,sweating,yellow_skin,breast_pain,blood_in_stool,coughing_blood,confusion,chest_tightness,polydipsia,hives,chronic_cough,difficulty_speaking
Type 2 Diabetes,polyuria,weight_loss,blurred_vision,,,,,,,,,,,,,,
Type 2 Diabetes,breathlessness,cramps,diarrhea,burning_urination,nail_pitting,persistent_cough,iron_deficiency_anemia,polydipsia,abdominal_pain,mood_swings,pelvic_pain,fatigue,polyuria,,,,
Type 2 Diabetes,weight_loss,nipple_discharge,blurred_vision,polydipsia,,,,,,,,,,,,,
Type 2 Diabetes,polyuria,diarrhea,polydipsia,blood_in_stool,fatigue,heartburn,numbness,night_sweats,blackheads,scaling,chills,joint_pain,swelling,dysphagia,blurred_vision,,
Type 2 Diabetes,polydipsia,cough,muscle_pain,dischromic_patches,frequent_urination,cramps,polyuria,memory_loss,hoarseness,vomiting,blurred_vision,,,,,,
Type 2 Diabetes,pelvic_pain,urinary_difficulty,memory_loss,heart_palpitations,cold_intolerance,disorientation,seizures,polydipsia,fatigue,vomiting_blood,hives,blisters,blurred_vision,polyuria,,,
Type 2 Diabetes,polyuria,polydipsia,weight_loss,fatigue,blurred_vision,,,,,,,,,,,,
Type 2 Diabetes,blurred_vision,polydipsia,visual_aura,sneezing,chills,palpitations,weight_loss,weakness,cold_intolerance,polyuria,fatigue,nausea,memory_loss,stiffness,,,
Type 2 Diabetes,polydipsia,stiffness,breathlessness,polyuria,chills,dysphagia,seizures,oiliness,swollen_lymph_nodes,constipation,shortness_of_breath,creaking_joints,blurred_vision,photophobia,fatigue,swelling_in_legs,
Type 2 Diabetes,crusting,abdominal_pain,frequent_urination,chest_tightness,bloating_after_meals,nail_pitting,loss_of_appetite,confusion,weight_gain,fatigue,polyuria,polydipsia,,,,,
Type 2 Diabetes,headache,mood_swings,changes_in_urination,palpitations,pelvic_pain,fatigue,swelling_in_legs,polyuria,oiliness,,,,,,,,
Type 2 Diabetes,polyuria,weight_loss,fatigue,polydipsia,blurred_vision,,,,,,,,,,,,
Type 2 Diabetes,mood_swings,polydipsia,indigestion,breast_lump,fatigue,neck_pain,black_stools,sneezing,polyuria,dischromic_patches,,,,,,,
Type 2 Diabetes,weakness,dehydration,seizures,blurred_vision,visual_aura,fatigue,weight_loss,swollen_lymph_nodes,polyuria,dischromic_patches,bloating_after_meals,skin_rash,,,,,
Type 2 Diabetes,weight_loss,burning_urination,blurred_vision,stiffness,polydipsia,iron_deficiency_anemia,fatigue,,,,,,,,,,
Type 2 Diabetes,stiffness,seizures,polyuria,heartburn,weight_loss,blackheads,heart_palpitations,weight_gain,yellow_skin,changes_in_urination,pelvic_pain,anal_pain,coughing_blood,fatigue,,,
Type 2 Diabetes,polydipsia,nipple_inversion,itching,polyuria,tremors,abdominal_pain,chronic_cough,fatigue,weight_loss,sneezing,nipple_discharge,blurred_vision,jaundice,dark_urine,,,
Type 2 Diabetes,polyuria,weight_gain,breast_lump,heartburn,bone_pain,fever,phonophobia,black_stools,fatigue,vertigo,breast_pain,changes_in_bowel_habits,skin_rash,reduced_mobility,,,
Type 2 Diabetes,vertigo,fatigue,blurred_vision,cough,polydipsia,bloating_after_meals,indigestion,polyuria,changes_in_bowel_habits,disorientation,weight_loss,palpitations,,,,,
Type 2 Diabetes,weakness,fatigue,runny_nose,bleeding,confusion,abdominal_cramps,dischromic_patches,polydipsia,breast_lump,scaling,polyuria,arm_pain,blurred_vision,skin_rash,vomiting,,
Type 2 Diabetes,skin_rash,runny_nose,tremors,polyuria,polydipsia,,,,,,,,,,,,
Type 2 Diabetes,polydipsia,fatigue,weight_loss,chest_tightness,weakness,,,,,,,,,,,,
Type 2 Diabetes,fatigue,constipation,pimples,breathlessness,vertigo,weakness,polyuria,blurred_vision,loss_of_appetite,,,,,,,,
Type 2 Diabetes,seizures,confusion,visual_aura,weight_loss,diarrhea,memory_loss,skin_dimpling,yellow_skin,vesicles,neck_pain,blurred_vision,balance_loss,bone_pain,fatigue,polyuria,,
Type 2 Diabetes,polyuria,blood_in_semen,polydipsia,fatigue,,,,,,,,,,,,,
Type 2 Diabetes,shortness_of_breath,changes_in_urination,fatigue,blurred_vision,frequent_respiratory_infections,dry_skin,blood_in_semen,disorientation,polyuria,,,,,,,,
Type 2 Diabetes,acid_reflux,weight_gain,blurred_vision,reduced_mobility,abdominal_pain,polydipsia,erectile_dysfunction,mood_swings,fatigue,chest_pain,cough,photophobia,palpitations,swelling,,,
Type 2 Diabetes,polyuria,erectile_dysfunction,fatigue,blurred_vision,polydipsia,weight_loss,,,,,,,,,,,
Type 2 Diabetes,anal_pain,skin_dimpling,confusion,stiffness,polyuria,weight_loss,runny_nose,polydipsia,fatigue,nipple_inversion,frequent_urination,swelling_in_legs,shortness_of_breath,,,,
Type 2 Diabetes,acid_reflux,urinary_difficulty,vomiting_blood,skin_rash,confusion,weight_loss,frequent_urination,joint_pain,fatigue,reduced_mobility,dry_skin,polyuria,blurred_vision,mood_swings,black_stools,,
Type 2 Diabetes,weight_loss,hives,seizures,fatigue,polyuria,polydipsia,blurred_vision,nail_pitting,,,,,,,,,
Type 2 Diabetes,polyuria,skin_rash,polydipsia,dark_urine,bloating,skin_dimpling,,,,,,,,,,,
Type 2 Diabetes,polydipsia,pimples,nodal_eruptions,weight_loss,polyuria,,,,,,,,,,,,
Type 2 Diabetes,polyuria,polydipsia,blurred_vision,,,,,,,,,,,,,,
Type 2 Diabetes,polydipsia,weight_loss,polyuria,blurred_vision,,,,,,,,,,,,,
Type 2 Diabetes,polydipsia,leg_pain,blurred_vision,fatigue,polyuria,,,,,,,,,,,,
Type 2 Diabetes,indigestion,polydipsia,vomiting_blood,night_sweats,chills,abdominal_cramps,fatigue,weight_loss,blurred_vision,weight_gain,anal_pain,blisters,urinary_difficulty,visual_aura,vesicles,,
Type 2 Diabetes,blurred_vision,polyuria,scarring,fatigue,itchy_eyes,polydipsia,fever,,,,,,,,,,
Type 2 Diabetes,polyuria,blisters,diarrhea,swollen_lymph_nodes,blurred_vision,fatigue,leg_pain,polydipsia,cramps,weight_gain,bloating_after_meals,dehydration,dizziness,weight_loss,breathlessness,swelling,
Gastroenteritis,skin_rash,tremors,loss_of_appetite,abdominal_cramps,dehydration,cold_intolerance,numbness,fever,shortness_of_breath,pelvic_pain,scarring,vomiting,cramps,diarrhea,stiffness,cough,
Gastroenteritis,erectile_dysfunction,fever,sweating,diarrhea,abdominal_cramps,wheezing,yellow_skin,difficulty_speaking,dehydration,scarring,stiffness,visible_veins,weakness,iron_deficiency_anemia,,,
Gastroenteritis,diarrhea,dehydration,vomiting,,,,,,,,,,,,,,
Gastroenteritis,nasal_congestion,blood_in_stool,swelling,urinary_difficulty,weight_loss,phonophobia,abdominal_cramps,bleeding,weight_gain,bone_pain,,,,,,,
Gastroenteritis,fever,nipple_inversion,dehydration,disorientation,polyuria,vomiting,abdominal_cramps,heart_palpitations,diarrhea,,,,,,,,
Gastroenteritis,hoarseness,bleeding,nipple_discharge,cold_intolerance,joint_pain,chills,swelling_in_legs,diarrhea,fever,dehydration,fatigue,difficulty_speaking,dischromic_patches,,,,
Gastroenteritis,fever,blood_in_semen,bone_pain,mood_swings,vomiting,diarrhea,abdominal_cramps,,,,,,,,,,
Gastroenteritis,disorientation,acid_reflux,black_stools,diarrhea,erectile_dysfunction,blackheads,dehydration,vomiting,abdominal_cramps,burning_urination,,,,,,,
Gastroenteritis,itching,vomiting,diarrhea,iron_deficiency_anemia,acid_reflux,scaling,abdominal_cramps,breathlessness,dry_skin,swelling,swelling_in_legs,fever,,,,,
Gastroenteritis,dehydration,coughing_blood,vomiting,sneezing,cramps,tremors,abdominal_cramps,swollen_lymph_nodes,blurred_vision,balance_loss,fever,sweating,diarrhea,wheezing,jaundice,,
Gastroenteritis,dehydration,weakness,fever,vomiting,wheezing,dischromic_patches,pimples,erectile_dysfunction,blood_in_semen,early_satiety,diarrhea,scaling,,,,,
Gastroenteritis,fever,runny_nose,oiliness,abdominal_cramps,frequent_respiratory_infections,vomiting,frequent_urination,vertigo,chest_tightness,shortness_of_breath,diarrhea,nodal_eruptions,scarring,anal_pain,,,
Gastroenteritis,diarrhea,chest_tightness,runny_nose,abdominal_cramps,dehydration,visual_aura,,,,,,,,,,,
Gastroenteritis,abdominal_cramps,diarrhea,dehydration,vomiting,,,,,,,,,,,,,
Gastroenteritis,blisters,weakness,diarrhea,vomiting,chest_tightness,fever,swollen_lymph_nodes,yellow_skin,,,,,,,,,
Gastroenteritis,oiliness,abdominal_cramps,runny_nose,diarrhea,dischromic_patches,loss_of_appetite,numbness,sore_throat,neck_pain,wheezing,vomiting,skin_dimpling,changes_in_urination,night_sweats,,,
Gastroenteritis,fever,diarrhea,swelling,vomiting,blackheads,dehydration,abdominal_cramps,,,,,,,,,,
Gastroenteritis,shortness_of_breath,nipple_inversion,fever,dehydration,bone_pain,diarrhea,bleeding,abdominal_cramps,swelling_in_legs,nipple_discharge,vomiting,,,,,,
Gastroenteritis,diarrhea,abdominal_cramps,dehydration,,,,,,,,,,,,,,
Gastroenteritis,bleeding,vomiting,swollen_lymph_nodes,diarrhea,dehydration,fever,dark_urine,,,,,,,,,,
Gastroenteritis,diarrhea,dehydration,vomiting,fever,changes_in_bowel_habits,abdominal_cramps,,,,,,,,,,,
Gastroenteritis,abdominal_cramps,fever,seizures,visible_veins,visual_aura,yellow_skin,diarrhea,dizziness,sore_throat,weight_loss,dehydration,,,,,,
Gastroenteritis,vomiting,diarrhea,shortness_of_breath,vertigo,itchy_eyes,fever,,,,,,,,,,,
Gastroenteritis,vomiting_blood,changes_in_urination,crusting,loss_of_appetite,fever,weakness,chronic_cough,diarrhea,abdominal_cramps,chest_pain,reduced_mobility,weight_loss,abdominal_pain,skin_dimpling,swelling_in_legs,,
Gastroenteritis,swelling,nodal_eruptions,sore_throat,vomiting,fever,scarring,abdominal_cramps,frequent_urination,dehydration,nipple_discharge,,,,,,,
Gastroenteritis,dehydration,high_blood_pressure,persistent_cough,dysphagia,diarrhea,breathlessness,cold_intolerance,vomiting,leg_pain,abdominal_cramps,dizziness,fever,swelling,difficulty_speaking,chest_pain,,
Gastroenteritis,indigestion,pimples,balance_loss,blisters,vomiting,abdominal_cramps,bleeding,shortness_of_breath,constipation,visual_aura,dark_urine,tremors,diarrhea,black_stools,fever,dehydration,
Gastroenteritis,fever,diarrhea,dehydration,,,,,,,,,,,,,,
Gastroenteritis,dehydration,diarrhea,constipation,fever,leg_pain,abdominal_cramps,vomiting,,,,,,,,,,
Gastroenteritis,diarrhea,vomiting,dehydration,runny_nose,,,,,,,,,,,,,
Gastroenteritis,dehydration,fever,swollen_lymph_nodes,cough,anal_pain,palpitations,nausea,breast_pain,diarrhea,abdominal_cramps,,,,,,,
Gastroenteritis,fever,palpitations,dehydration,weight_loss,chronic_cough,breathlessness,coughing_blood,nasal_congestion,diarrhea,itching,abdominal_cramps,vomiting,,,,,
Gastroenteritis,blood_in_semen,nasal_congestion,vomiting,abdominal_cramps,fever,cloudy_urine,vesicles,cold_intolerance,disorientation,,,,,,,,
Gastroenteritis,vomiting,heartburn,cloudy_urine,difficulty_speaking,fever,visible_veins,cramps,phonophobia,diarrhea,weakness,,,,,,,
Gastroenteritis,creaking_joints,fever,vomiting,abdominal_cramps,bleeding,pelvic_pain,phonophobia,dehydration,diarrhea,bloating,swelling,,,,,,
Gastroenteritis,blackheads,dehydration,frequent_respiratory_infections,fever,pelvic_pain,abdominal_cramps,iron_deficiency_anemia,vomiting,,,,,,,,,
Gastroenteritis,reduced_mobility,cold_intolerance,palpitations,dehydration,scarring,fever,chest_pain,blood_in_semen,diarrhea,abdominal_cramps,sweating,weight_gain,vesicles,,,,
Gastroenteritis,nausea,weakness,diarrhea,dark_urine,vomiting,dysphagia,dehydration,chest_tightness,sneezing,breathlessness,,,,,,,
Gastroenteritis,vesicles,sweating,vomiting,fever,erectile_dysfunction,oiliness,abdominal_pain,night_sweats,stiffness,reduced_mobility,abdominal_cramps,pelvic_pain,nodal_eruptions,nausea,joint_pain,sneezing,headache
Gastroenteritis,indigestion,fever,night_sweats,abdominal_pain,disorientation,frequent_urination,diarrhea,bleeding,cramps,skin_dimpling,vomiting,,,,,,
Gastroenteritis,dehydration,diarrhea,stiffness,vomiting,,,,,,,,,,,,,
Gastroenteritis,diarrhea,abdominal_cramps,changes_in_urination,fever,sneezing,wheezing,cloudy_urine,dark_urine,vomiting,,,,,,,,
Gastroenteritis,blackheads,dehydration,diarrhea,nipple_inversion,confusion,scaling,vomiting,heart_palpitations,nasal_congestion,,,,,,,,
Gastroenteritis,vomiting,abdominal_cramps,diarrhea,visual_aura,swollen_lymph_nodes,arm_pain,dehydration,,,,,,,,,,
Gastroenteritis,dehydration,nodal_eruptions,breast_pain,diarrhea,chest_tightness,polydipsia,vomiting,vertigo,erectile_dysfunction,cough,,,,,,,
Gastroenteritis,vomiting,nail_pitting,fever,frequent_urination,abdominal_cramps,changes_in_urination,weight_gain,pimples,dehydration,disorientation,difficulty_speaking,,,,,,
Gastroenteritis,creaking_joints,itching,changes_in_urination,diarrhea,abdominal_cramps,skin_rash,fever,heart_palpitations,vomiting_blood,sore_throat,bone_pain,joint_pain,headache,crusting,vomiting,,
Gastroenteritis,diarrhea,dehydration,scaling,loss_of_appetite,dischromic_patches,fever,vomiting_blood,abdominal_cramps,vomiting,nipple_discharge,,,,,,,
Gastroenteritis,abdominal_cramps,vomiting,dehydration,fever,cloudy_urine,nipple_inversion,diarrhea,hunger,hoarseness,,,,,,,,
Gastroenteritis,dehydration,vomiting,fever,abdominal_cramps,diarrhea,crusting,coughing_blood,,,,,,,,,,
Gastroenteritis,abdominal_cramps,neck_pain,dehydration,diarrhea,vomiting,scarring,skin_dimpling,fever,blackheads,,,,,,,,
Gastroenteritis,diarrhea,constipation,vomiting,bloating,vomiting_blood,chronic_cough,vesicles,weight_loss,abdominal_cramps,fever,visible_veins,vertigo,coughing_blood,,,,
Gastroenteritis,reduced_mobility,anal_pain,diarrhea,vomiting,leg_pain,creaking_joints,abdominal_cramps,dischromic_patches,blackheads,photophobia,cold_intolerance,coughing_blood,pimples,pelvic_pain,dehydration,,
Gastroenteritis,abdominal_cramps,vomiting,dehydration,diarrhea,fever,,,,,,,,,,,,
Gastroenteritis,fever,abdominal_cramps,diarrhea,dehydration,,,,,,,,,,,,,
Gastroenteritis,stiffness,memory_loss,vomiting,abdominal_cramps,diarrhea,swelling,,,,,,,,,,,
Gastroenteritis,wheezing,sneezing,chest_tightness,chest_pain,polydipsia,vomiting_blood,nail_pitting,vomiting,numbness,visible_veins,shortness_of_breath,dry_skin,dehydration,urinary_difficulty,abdominal_cramps,,
Gastroenteritis,vomiting,dehydration,abdominal_cramps,,,,,,,,,,,,,,
Gastroenteritis,blackheads,blurred_vision,itching,black_stools,diarrhea,neck_pain,reduced_mobility,palpitations,heart_palpitations,pimples,high_blood_pressure,balance_loss,cold_intolerance,,,,
Gastroenteritis,abdominal_cramps,vomiting,weight_loss,fever,frequent_urination,cramps,heart_palpitations,blisters,bloating_after_meals,phonophobia,loss_of_appetite,,,,,,
Gastroenteritis,vomiting,dehydration,diarrhea,,,,,,,,,,,,,,
Gastroenteritis,fever,vomiting,diarrhea,,,,,,,,,,,,,,
Gastroenteritis,nipple_discharge,fever,itching,disorientation,vomiting,abdominal_cramps,vesicles,persistent_cough,breast_pain,abdominal_pain,diarrhea,hoarseness,vertigo,dehydration,,,
Gastroenteritis,dehydration,nipple_discharge,cloudy_urine,diarrhea,nail_pitting,muscle_pain,photophobia,abdominal_cramps,blackheads,polyuria,bloating,nasal_congestion,vomiting,weight_gain,hoarseness,,
Gastroenteritis,skin_dimpling,dischromic_patches,fever,nipple_inversion,sweating,yellow_skin,chest_pain,heart_palpitations,wheezing,swelling,burning_urination,vomiting,diarrhea,oiliness,dehydration,abdominal_cramps,cough
Gastroenteritis,dehydration,abdominal_cramps,diarrhea,,,,,,,,,,,,,,
Gastroenteritis,dehydration,vesicles,swelling_in_legs,yellow_skin,constipation,diarrhea,vomiting_blood,vomiting,reduced_mobility,abdominal_cramps,frequent_respiratory_infections,high_blood_pressure,dischromic_patches,nail_pitting,swollen_lymph_nodes,,
Gastroenteritis,diarrhea,swollen_lymph_nodes,vesicles,persistent_cough,frequent_respiratory_infections,runny_nose,dehydration,night_sweats,anal_pain,cough,fever,nodal_eruptions,vomiting,nipple_discharge,weakness,polydipsia,abdominal_cramps
Gastroenteritis,blood_in_stool,dehydration,loss_of_appetite,runny_nose,diarrhea,polydipsia,photophobia,nodal_eruptions,constipation,iron_deficiency_anemia,abdominal_cramps,anal_pain,fever,high_blood_pressure,weight_gain,vertigo,nipple_inversion
Gastroenteritis,abdominal_cramps,fever,night_sweats,hives,vomiting,dehydration,high_blood_pressure,,,,,,,,,,
Gastroenteritis,blackheads,anal_pain,nipple_inversion,abdominal_cramps,dehydration,diarrhea,changes_in_bowel_habits,acid_reflux,vomiting,polyuria,,,,,,,
Gastroenteritis,breast_pain,diarrhea,creaking_joints,vomiting,abdominal_cramps,dehydration,balance_loss,,,,,,,,,,
Gastroenteritis,bone_pain,scarring,chronic_cough,fever,breast_pain,cramps,fatigue,hunger,hoarseness,polyuria,vomiting,abdominal_cramps,bloating,tremors,diarrhea,nipple_discharge,chest_tightness
Gastroenteritis,nipple_inversion,persistent_cough,diarrhea,frequent_respiratory_infections,reduced_mobility,abdominal_cramps,weakness,bone_pain,erectile_dysfunction,dehydration,shortness_of_breath,difficulty_speaking,anal_pain,leg_pain,polydipsia,vomiting,
Gastroenteritis,photophobia,night_sweats,indigestion,headache,diarrhea,sweating,vomiting,acid_reflux,seizures,fever,black_stools,,,,,,
Gastroenteritis,fever,burning_urination,vesicles,nail_pitting,abdominal_cramps,dehydration,diarrhea,,,,,,,,,,
Gastroenteritis,diarrhea,abdominal_cramps,fever,breast_lump,vomiting,skin_dimpling,dehydration,,,,,,,,,,
Gastroenteritis,blackheads,bone_pain,fever,abdominal_cramps,high_blood_pressure,phonophobia,seizures,changes_in_bowel_habits,visible_veins,dry_skin,disorientation,polyuria,chronic_cough,diarrhea,vertigo,vomiting,
Gastroenteritis,balance_loss,heartburn,difficulty_speaking,vomiting,weakness,breathlessness,itching,chronic_cough,dehydration,high_blood_pressure,diarrhea,night_sweats,wheezing,abdominal_cramps,fever,disorientation,
Gastroenteritis,runny_nose,night_sweats,abdominal_cramps,dehydration,nasal_congestion,diarrhea,fever,anal_pain,vomiting,,,,,,,,
Gastroenteritis,abdominal_cramps,fever,polyuria,blood_in_stool,vomiting,skin_rash,diarrhea,dehydration,,,,,,,,,
Gastroenteritis,polyuria,hives,photophobia,bone_pain,diarrhea,pelvic_pain,abdominal_cramps,chest_tightness,urinary_difficulty,,,,,,,,
Gastroenteritis,diarrhea,arm_pain,balance_loss,black_stools,abdominal_cramps,runny_nose,changes_in_bowel_habits,dehydration,vomiting,,,,,,,,
Gastroenteritis,fever,diarrhea,abdominal_cramps,swelling_in_legs,blood_in_semen,hives,vomiting,coughing_blood,,,,,,,,,
Gastroenteritis,dehydration,frequent_urination,weight_gain,weakness,vomiting,abdominal_cramps,cough,wheezing,night_sweats,swelling_in_legs,,,,,,,
Gastroenteritis,chronic_cough,abdominal_cramps,fever,dehydration,vomiting,persistent_cough,bloating,vertigo,diarrhea,,,,,,,,
Gastroenteritis,swollen_lymph_nodes,coughing_blood,hives,visible_veins,changes_in_bowel_habits,reduced_mobility,runny_nose,dry_skin,fever,hoarseness,diarrhea,abdominal_cramps,chronic_cough,dysphagia,vomiting,chest_pain,cramps
Gastroenteritis,night_sweats,vomiting,stiffness,fever,coughing_blood,fatigue,tremors,skin_dimpling,dehydration,,,,,,,,
Gastroenteritis,changes_in_bowel_habits,vomiting,diarrhea,dysphagia,frequent_respiratory_infections,changes_in_urination,abdominal_cramps,skin_rash,shortness_of_breath,fever,dehydration,nail_pitting,swelling,,,,
Gastroenteritis,diarrhea,dehydration,abdominal_cramps,,,,,,,,,,,,,,
Gastroenteritis,hoarseness,itchy_eyes,high_blood_pressure,diarrhea,balance_loss,fever,blackheads,oiliness,numbness,abdominal_cramps,nipple_discharge,dysphagia,,,,,
Gastroenteritis,vomiting,nipple_inversion,crusting,heartburn,night_sweats,polydipsia,,,,,,,,,,,
Gastroenteritis,scaling,creaking_joints,hoarseness,arm_pain,vomiting,polydipsia,changes_in_urination,heartburn,bloating_after_meals,balance_loss,weakness,dizziness,diarrhea,,,,
Gastroenteritis,burning_urination,cough,hives,vomiting,fever,headache,dark_urine,abdominal_cramps,frequent_respiratory_infections,constipation,iron_deficiency_anemia,jaundice,memory_loss,diarrhea,balance_loss,creaking_joints,blisters
Gastroenteritis,blood_in_semen,fever,seizures,sweating,vesicles,bloating,anal_pain,shortness_of_breath,bloating_after_meals,dehydration,dark_urine,diarrhea,abdominal_cramps,,,,
Gastroenteritis,shortness_of_breath,blurred_vision,vomiting,diarrhea,abdominal_cramps,nasal_congestion,dry_skin,hunger,joint_pain,frequent_respiratory_infections,dehydration,nipple_discharge,chest_pain,blackheads,swelling,seizures,
Gastroenteritis,vomiting,diarrhea,abdominal_cramps,,,,,,,,,,,,,,
Gastroenteritis,chronic_cough,dehydration,urinary_difficulty,joint_pain,vertigo,vomiting,memory_loss,breathlessness,changes_in_bowel_habits,diarrhea,early_satiety,disorientation,abdominal_cramps,fever,cough,,
Gastroenteritis,crusting,weight_gain,creaking_joints,vesicles,sneezing,mood_swings,vomiting,arm_pain,numbness,abdominal_cramps,scarring,blisters,cloudy_urine,diarrhea,jaundice,chest_tightness,
Gastroenteritis,bloating_after_meals,fever,diarrhea,seizures,dehydration,vertigo,balance_loss,scaling,burning_urination,chills,swelling_in_legs,vomiting,,,,,
Gastroenteritis,vomiting,abdominal_cramps,diarrhea,,,,,,,,,,,,,,
Gastroenteritis,dehydration,nipple_inversion,shortness_of_breath,urinary_difficulty,nodal_eruptions,vesicles,runny_nose,vomiting,memory_loss,nail_pitting,diarrhea,abdominal_cramps,fever,,,,
